smiles,role,pubchem_cid,inchikey,pubchem_patent_ids
CCCCCCC(CCCC)CC1=CC=C(C2=C3SC=CC3=C(C3=CC=C(CC(CCCC)CCCCCC)S3)C3=C2C=C(C2=C(F)C=C(C4=CC5=C(S4)C4=C(C=C(C6=CC(F)=CC7=NSN=C67)S4)[Si]5(CC(CC)CCCC)CC(CC)CCCC)C4=NSN=C24)S3)S1,donor,,JJTQCEBTIMFGHE-UHFFFAOYSA-N,
CCCCCCC(CCCC)CC1=CC=C(C2=C3SC=CC3=C(C3=CC=C(CC(CCCC)CCCCCC)S3)C3=C2C=C(C2=CC=C(C4=CC5=C(S4)C4=C(C=C(C6=CC=CC7=NSN=C67)S4)[Si]5(CC(CC)CCCC)CC(CC)CCCC)C4=NSN=C24)S3)S1,donor,,VHSJIKVOMTWYRB-UHFFFAOYSA-N,
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,donor,117785309.0,UABWNOHRSWHXHS-UHFFFAOYSA-N,US-11690282-B2;US-11773210-B2;US-20140378605-A1;US-2014378605-A1;US-20150210800-A1;US-20170033304-A1;US-2019245150-A1;US-2019378988-A1;US-20230295494-A1;US20140378605;US20150210800
CCCCCCCCOC1=C(C2=CC=CS2)C2=NSN=C2C(C2=CC=C(C3=CC4=C(C5=CC=C(SCC(CC)CCCC)S5)C5=C(C=CS5)C(C5=CC=C(SCC(CC)CCCC)S5)=C4S3)S2)=C1OCCCCCCCC,donor,,ZKLCHWRZSQZTMI-UHFFFAOYSA-N,
CCCCC(CC)CC1=CC=C(C2=C3C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=CS6)C6=NC(C7=CC(F)=C(CC(CC)CCCC)S7)=C(C7=CC(F)=C(CC(CC)CCCC)S7)N=C56)S4)SC3=C(C3=CC=C(CC(CC)CCCC)S3)C3=C2SC=C3)S1,donor,,CMANHMSRZGSUKV-UHFFFAOYSA-N,
CCCCC(CC)COC(=O)C1=C(F)C2=CSC(C3=CC4=C(C5=CC=C(CC(CC)CCCC)S5)C5=C(C=CS5)C(C5=CC=C(CC(CC)CCCC)S5)=C4S3)=C2S1,donor,122203990.0,ITPGGFBUOBMMLC-UHFFFAOYSA-N,
CCCCCCC1=C(C2=CC(CCCCCC)=C(C3=CC=C(/C=C4\SC(=S)N(CC(CC)CCCC)C4=O)S3)S2)SC(C2=CC3=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C4=C(C=C(C5=CC(CCCCCC)=C(C6=CC(CCCCCC)=C(C7=CC=C(/C=C8/SC(=S)N(CCCCCC)C8=O)S7)S6)S5)S4)C(C4=CC(Cl)=C(CC(CC)CCCC)S4)=C3S2)=C1,donor,,QLDAMQGSKVKFSG-CKOMXLSOSA-N,
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C\C2=CSC(C3=CC=C(C4=CC=CS4)S3)=C2)C2=CC=CC=C21,donor,,RBPQMZAGMBYWJA-NUDFZHEQSA-N,
CCCCCCCCCCCC[Si]1(CCCCCCCCCCCC)C2=C(SC=C2)C2=C1C=C(C1=CC=CC3=NSN=C13)S2,donor,102162156.0,MNYSRSPUXDLTPW-UHFFFAOYSA-N,
CCCCCCCCC1=C(C2=CC(CCCCCCCC)=C(C3=CC=C(C4=C(CCCCCCCC)C=C(C5=C(CCCCCCCC)C=C(/C=C6\SC(=C(C#N)C#N)N(CC)C6=O)S5)S4)S3)S2)SC(/C=C2\SC(=C(C#N)C#N)N(CC)C2=O)=C1,donor,,LHRBWFSSFGUIQR-ZANQYWCJSA-N,
